var,impotance
EXT_SOURCE_2,0.029950453
REG_CITY_NOT_WORK_CITY,0.026049457
COMMONAREA_AVG,0.023839328
REG_CITY_NOT_LIVE_CITY,0.023806667
EXT_SOURCE_3,0.023154732
AMT_CREDIT,0.022842707
EXT_SOURCE_1,0.021984091
TOTALAREA_MODE,0.020960147
AMT_GOODS_PRICE,0.020695165
ORGANIZATION_TYPE,0.020481465
NAME_EDUCATION_TYPE,0.020136816
AMT_ANNUITY,0.019785542
LIVINGAREA_MODE,0.01832892
FONDKAPREMONT_MODE,0.018312454
REGION_RATING_CLIENT,0.01827285
FLAG_DOCUMENT_6,0.018153794
LIVINGAPARTMENTS_MODE,0.018046334
DAYS_EMPLOYED,0.017984828
COMMONAREA_MODE,0.01769556
FLAG_OWN_CAR,0.017389445
OCCUPATION_TYPE,0.017321944
DAYS_ID_PUBLISH,0.017179737
DAYS_REGISTRATION,0.017023275
DEF_60_CNT_SOCIAL_CIRCLE,0.016944377
LANDAREA_MODE,0.016612919
FLAG_DOCUMENT_3,0.016203824
DAYS_LAST_PHONE_CHANGE,0.016123923
OWN_CAR_AGE,0.01601845
ENTRANCES_MEDI,0.01561308
ENTRANCES_MODE,0.01539605
OBS_30_CNT_SOCIAL_CIRCLE,0.015281502
APARTMENTS_MODE,0.015247531
NONLIVINGAREA_MODE,0.015007867
LIVINGAREA_AVG,0.014503349
NONLIVINGAREA_AVG,0.014371755
BASEMENTAREA_MODE,0.0142719
NAME_HOUSING_TYPE,0.013946831
FLOORSMAX_AVG,0.013788235
AMT_INCOME_TOTAL,0.013471096
CNT_CHILDREN,0.013294465
NAME_INCOME_TYPE,0.013064437
REGION_POPULATION_RELATIVE,0.012985442
LIVINGAREA_MEDI,0.012768542
LIVINGAPARTMENTS_MEDI,0.012743106
HOUSETYPE_MODE,0.012557485
LANDAREA_AVG,0.012380196
DEF_30_CNT_SOCIAL_CIRCLE,0.012254998
YEARS_BUILD_AVG,0.0122146
FLAG_EMAIL,0.012193586
FLAG_PHONE,0.012087293
WALLSMATERIAL_MODE,0.012046673
YEARS_BEGINEXPLUATATION_AVG,0.012025795
NAME_TYPE_SUITE,0.011598093
YEARS_BUILD_MEDI,0.011572869
BASEMENTAREA_AVG,0.0114540085
COMMONAREA_MEDI,0.011442901
ENTRANCES_AVG,0.01063379
YEARS_BEGINEXPLUATATION_MODE,0.0105505325
APARTMENTS_MEDI,0.010263416
YEARS_BEGINEXPLUATATION_MEDI,0.0101716295
FLOORSMIN_AVG,0.009950256
LIVE_CITY_NOT_WORK_CITY,0.009559839
NONLIVINGAPARTMENTS_MEDI,0.009526824
FLOORSMAX_MODE,0.008460722
BASEMENTAREA_MEDI,0.0
FLOORSMIN_MEDI,0.0
LANDAREA_MEDI,0.0
REG_REGION_NOT_LIVE_REGION,0.0
FLAG_CONT_MOBILE,0.0
NONLIVINGAREA_MEDI,0.0
NAME_CONTRACT_TYPE,0.0
FLAG_DOCUMENT_16,0.0
FLAG_DOCUMENT_18,0.0
FLAG_OWN_REALTY,0.0
EMERGENCYSTATE_MODE,0.0
FLAG_EMP_PHONE,0.0
ELEVATORS_MODE,0.0
FLAG_DOCUMENT_8,0.0
YEARS_BUILD_MODE,0.0
FLOORSMIN_MODE,0.0
CNT_FAM_MEMBERS,0.0
REG_REGION_NOT_WORK_REGION,0.0
FLAG_MOBIL,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
NONLIVINGAPARTMENTS_AVG,0.0
LIVINGAPARTMENTS_AVG,0.0
REGION_RATING_CLIENT_W_CITY,0.0
ELEVATORS_MEDI,0.0
FLOORSMAX_MEDI,0.0
APARTMENTS_AVG,0.0
FLAG_WORK_PHONE,0.0
OBS_60_CNT_SOCIAL_CIRCLE,0.0
NONLIVINGAPARTMENTS_MODE,0.0
ELEVATORS_AVG,0.0
